Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00     366 5.479e-03

rx  -  ry  -  vx  -  vy
-3.785899e+01  -1.037960e+01  -1.213194e+02  -3.326196e+01
-3.852376e+01  -1.056186e+01  -1.213193e+02  -3.326192e+01
-3.918852e+01  -1.074412e+01  -1.213191e+02  -3.326189e+01
-3.985328e+01  -1.092637e+01  -1.213190e+02  -3.326185e+01
-4.051804e+01  -1.110863e+01  -1.213189e+02  -3.326182e+01
-4.118280e+01  -1.129089e+01  -1.213188e+02  -3.326179e+01
-4.184756e+01  -1.147314e+01  -1.213187e+02  -3.326176e+01
-4.251232e+01  -1.165540e+01  -1.213185e+02  -3.326173e+01
-4.317708e+01  -1.183766e+01  -1.213184e+02  -3.326170e+01
-4.384184e+01  -1.201991e+01  -1.213183e+02  -3.326167e+01
-4.450660e+01  -1.220217e+01  -1.213182e+02  -3.326164e+01
-4.517135e+01  -1.238442e+01  -1.213181e+02  -3.326162e+01
-4.583611e+01  -1.256668e+01  -1.213181e+02  -3.326159e+01
-4.650087e+01  -1.274893e+01  -1.213180e+02  -3.326157e+01
-4.716562e+01  -1.293119e+01  -1.213179e+02  -3.326154e+01
-4.783038e+01  -1.311344e+01  -1.213178e+02  -3.326152e+01
-4.849513e+01  -1.329570e+01  -1.213177e+02  -3.326150e+01
-4.915989e+01  -1.347795e+01  -1.213176e+02  -3.326147e+01
-4.982464e+01  -1.366021e+01  -1.213175e+02  -3.326145e+01
-5.048939e+01  -1.384246e+01  -1.213175e+02  -3.326143e+01
-5.115415e+01  -1.402472e+01  -1.213174e+02  -3.326141e+01
-5.181890e+01  -1.420697e+01  -1.213173e+02  -3.326139e+01
-5.248365e+01  -1.438922e+01  -1.213172e+02  -3.326137e+01
-5.314840e+01  -1.457148e+01  -1.213172e+02  -3.326135e+01
-5.381316e+01  -1.475373e+01  -1.213171e+02  -3.326133e+01
-5.447791e+01  -1.493599e+01  -1.213170e+02  -3.326131e+01
-5.514266e+01  -1.511824e+01  -1.213170e+02  -3.326130e+01
