Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00    1826 1.096e-03

rx  -  ry  -  vx  -  vy
7.935711e-01   6.084816e-01  -3.823148e+00   4.986157e+00
7.893625e-01   6.139315e-01  -3.857390e+00   4.959714e+00
7.851165e-01   6.193522e-01  -3.891449e+00   4.933036e+00
7.808333e-01   6.247436e-01  -3.925323e+00   4.906124e+00
7.765131e-01   6.301054e-01  -3.959011e+00   4.878979e+00
7.721560e-01   6.354372e-01  -3.992512e+00   4.851603e+00
7.677624e-01   6.407390e-01  -4.025823e+00   4.823997e+00
7.633323e-01   6.460104e-01  -4.058943e+00   4.796162e+00
7.588660e-01   6.512511e-01  -4.091871e+00   4.768100e+00
7.543638e-01   6.564610e-01  -4.124605e+00   4.739812e+00
7.498258e-01   6.616398e-01  -4.157144e+00   4.711299e+00
7.452523e-01   6.667872e-01  -4.189485e+00   4.682563e+00
7.406434e-01   6.719029e-01  -4.221628e+00   4.653605e+00
7.359994e-01   6.769868e-01  -4.253570e+00   4.624426e+00
7.313205e-01   6.820387e-01  -4.285311e+00   4.595027e+00
7.266069e-01   6.870581e-01  -4.316848e+00   4.565411e+00
7.218589e-01   6.920450e-01  -4.348181e+00   4.535579e+00
7.170767e-01   6.969991e-01  -4.379308e+00   4.505531e+00
7.122604e-01   7.019202e-01  -4.410227e+00   4.475270e+00
7.074104e-01   7.068079e-01  -4.440937e+00   4.444797e+00
7.025269e-01   7.116622e-01  -4.471437e+00   4.414113e+00
6.976100e-01   7.164827e-01  -4.501724e+00   4.383220e+00
6.926601e-01   7.212692e-01  -4.531798e+00   4.352119e+00
6.876773e-01   7.260216e-01  -4.561657e+00   4.320811e+00
6.826619e-01   7.307395e-01  -4.591300e+00   4.289299e+00
6.776142e-01   7.354228e-01  -4.620725e+00   4.257583e+00
6.725343e-01   7.400712e-01  -4.649931e+00   4.225666e+00
6.674225e-01   7.446845e-01  -4.678917e+00   4.193548e+00
6.622791e-01   7.492625e-01  -4.707681e+00   4.161231e+00
6.571043e-01   7.538050e-01  -4.736221e+00   4.128717e+00
6.518984e-01   7.583118e-01  -4.764537e+00   4.096007e+00
6.466615e-01   7.627826e-01  -4.792627e+00   4.063103e+00
6.413940e-01   7.672172e-01  -4.820490e+00   4.030007e+00
6.360960e-01   7.716155e-01  -4.848125e+00   3.996719e+00
6.307680e-01   7.759772e-01  -4.875529e+00   3.963242e+00
6.254100e-01   7.803020e-01  -4.902702e+00   3.929577e+00
6.200223e-01   7.845899e-01  -4.929643e+00   3.895726e+00
6.146053e-01   7.888406e-01  -4.956350e+00   3.861690e+00
6.091591e-01   7.930539e-01  -4.982822e+00   3.827471e+00
6.036840e-01   7.972296e-01  -5.009058e+00   3.793070e+00
5.981803e-01   8.013675e-01  -5.035057e+00   3.758490e+00
5.926483e-01   8.054674e-01  -5.060816e+00   3.723731e+00
5.870881e-01   8.095291e-01  -5.086336e+00   3.688796e+00
5.815001e-01   8.135524e-01  -5.111615e+00   3.653686e+00
5.758846e-01   8.175372e-01  -5.136651e+00   3.618403e+00
5.702417e-01   8.214832e-01  -5.161443e+00   3.582948e+00
5.645718e-01   8.253902e-01  -5.185991e+00   3.547323e+00
5.588752e-01   8.292581e-01  -5.210293e+00   3.511531e+00
5.531520e-01   8.330867e-01  -5.234348e+00   3.475571e+00
5.474026e-01   8.368758e-01  -5.258155e+00   3.439447e+00
5.416273e-01   8.406252e-01  -5.281713e+00   3.403160e+00
5.358263e-01   8.443348e-01  -5.305020e+00   3.366712e+00
5.299998e-01   8.480043e-01  -5.328075e+00   3.330104e+00
5.241483e-01   8.516336e-01  -5.350878e+00   3.293338e+00
5.182719e-01   8.552226e-01  -5.373428e+00   3.256416e+00
5.123709e-01   8.587710e-01  -5.395722e+00   3.219339e+00
5.064456e-01   8.622787e-01  -5.417761e+00   3.182110e+00
5.004964e-01   8.657455e-01  -5.439543e+00   3.144730e+00
4.945234e-01   8.691712e-01  -5.461066e+00   3.107201e+00
