Method       t0       tn       N         h
Verlet        0  1.0e+00   10000 1.000e-04

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.866519e-06  -8.740550e-07   5.291856e-11   5.800521e-06  -1.796850e-05   1.477048e-09   9.551559e-01   2.912448e-01  -1.763305e-05  -1.932798e+00   5.987305e+00  -4.921688e-04
  -2.865938e-06  -8.758519e-07   5.306627e-11   5.811886e-06  -1.796504e-05   1.476838e-09   9.549624e-01   2.918436e-01  -1.768227e-05  -1.936585e+00   5.986149e+00  -4.920988e-04
  -2.865356e-06  -8.776484e-07   5.321396e-11   5.823249e-06  -1.796156e-05   1.476627e-09   9.547686e-01   2.924422e-01  -1.773148e-05  -1.940372e+00   5.984991e+00  -4.920286e-04
  -2.864774e-06  -8.794445e-07   5.336162e-11   5.834611e-06  -1.795807e-05   1.476416e-09   9.545743e-01   2.930407e-01  -1.778068e-05  -1.944157e+00   5.983830e+00  -4.919582e-04
  -2.864189e-06  -8.812403e-07   5.350927e-11   5.845970e-06  -1.795458e-05   1.476204e-09   9.543797e-01   2.936391e-01  -1.782988e-05  -1.947943e+00   5.982666e+00  -4.918875e-04
  -2.863604e-06  -8.830358e-07   5.365689e-11   5.857327e-06  -1.795109e-05   1.475991e-09   9.541847e-01   2.942373e-01  -1.787907e-05  -1.951727e+00   5.981501e+00  -4.918167e-04
  -2.863018e-06  -8.848309e-07   5.380450e-11   5.868683e-06  -1.794758e-05   1.475778e-09   9.539893e-01   2.948355e-01  -1.792826e-05  -1.955511e+00   5.980333e+00  -4.917457e-04
  -2.862430e-06  -8.866257e-07   5.395208e-11   5.880036e-06  -1.794407e-05   1.475565e-09   9.537936e-01   2.954335e-01  -1.797743e-05  -1.959294e+00   5.979162e+00  -4.916745e-04
  -2.861842e-06  -8.884201e-07   5.409964e-11   5.891387e-06  -1.794055e-05   1.475350e-09   9.535974e-01   2.960314e-01  -1.802660e-05  -1.963076e+00   5.977989e+00  -4.916031e-04
  -2.861252e-06  -8.902142e-07   5.424718e-11   5.902737e-06  -1.793702e-05   1.475136e-09   9.534009e-01   2.966292e-01  -1.807576e-05  -1.966858e+00   5.976814e+00  -4.915315e-04
  -2.860661e-06  -8.920079e-07   5.439469e-11   5.914084e-06  -1.793349e-05   1.474920e-09   9.532040e-01   2.972269e-01  -1.812492e-05  -1.970639e+00   5.975636e+00  -4.914598e-04
  -2.860069e-06  -8.938012e-07   5.454219e-11   5.925430e-06  -1.792994e-05   1.474704e-09   9.530067e-01   2.978245e-01  -1.817406e-05  -1.974420e+00   5.974456e+00  -4.913878e-04
  -2.859476e-06  -8.955942e-07   5.468967e-11   5.936773e-06  -1.792640e-05   1.474487e-09   9.528091e-01   2.984219e-01  -1.822320e-05  -1.978199e+00   5.973274e+00  -4.913156e-04
  -2.858882e-06  -8.973868e-07   5.483712e-11   5.948115e-06  -1.792284e-05   1.474270e-09   9.526111e-01   2.990193e-01  -1.827234e-05  -1.981978e+00   5.972089e+00  -4.912432e-04
  -2.858286e-06  -8.991791e-07   5.498455e-11   5.959454e-06  -1.791928e-05   1.474052e-09   9.524127e-01   2.996165e-01  -1.832146e-05  -1.985757e+00   5.970901e+00  -4.911706e-04
  -2.857690e-06  -9.009711e-07   5.513196e-11   5.970791e-06  -1.791571e-05   1.473834e-09   9.522139e-01   3.002136e-01  -1.837058e-05  -1.989535e+00   5.969712e+00  -4.910978e-04
  -2.857092e-06  -9.027626e-07   5.527935e-11   5.982127e-06  -1.791213e-05   1.473615e-09   9.520147e-01   3.008105e-01  -1.841969e-05  -1.993312e+00   5.968519e+00  -4.910249e-04
  -2.856493e-06  -9.045538e-07   5.542671e-11   5.993460e-06  -1.790854e-05   1.473395e-09   9.518152e-01   3.014074e-01  -1.846880e-05  -1.997088e+00   5.967325e+00  -4.909517e-04
  -2.855893e-06  -9.063447e-07   5.557405e-11   6.004791e-06  -1.790495e-05   1.473175e-09   9.516153e-01   3.020041e-01  -1.851789e-05  -2.000864e+00   5.966128e+00  -4.908783e-04
  -2.855292e-06  -9.081352e-07   5.572137e-11   6.016121e-06  -1.790135e-05   1.472954e-09   9.514150e-01   3.026007e-01  -1.856698e-05  -2.004639e+00   5.964929e+00  -4.908048e-04
  -2.854690e-06  -9.099253e-07   5.586867e-11   6.027448e-06  -1.789774e-05   1.472733e-09   9.512143e-01   3.031972e-01  -1.861606e-05  -2.008413e+00   5.963727e+00  -4.907310e-04
  -2.854086e-06  -9.117151e-07   5.601595e-11   6.038773e-06  -1.789413e-05   1.472511e-09   9.510132e-01   3.037936e-01  -1.866514e-05  -2.012187e+00   5.962523e+00  -4.906570e-04
  -2.853482e-06  -9.135045e-07   5.616321e-11   6.050096e-06  -1.789051e-05   1.472289e-09   9.508118e-01   3.043898e-01  -1.871420e-05  -2.015960e+00   5.961316e+00  -4.905829e-04
  -2.852876e-06  -9.152936e-07   5.631044e-11   6.061417e-06  -1.788688e-05   1.472065e-09   9.506100e-01   3.049860e-01  -1.876326e-05  -2.019733e+00   5.960107e+00  -4.905085e-04
  -2.852269e-06  -9.170822e-07   5.645765e-11   6.072736e-06  -1.788325e-05   1.471842e-09   9.504078e-01   3.055820e-01  -1.881232e-05  -2.023504e+00   5.958896e+00  -4.904340e-04
  -2.851662e-06  -9.188706e-07   5.660484e-11   6.084053e-06  -1.787960e-05   1.471617e-09   9.502053e-01   3.061779e-01  -1.886136e-05  -2.027275e+00   5.957682e+00  -4.903592e-04
  -2.851052e-06  -9.206585e-07   5.675200e-11   6.095368e-06  -1.787595e-05   1.471392e-09   9.500023e-01   3.067736e-01  -1.891040e-05  -2.031045e+00   5.956466e+00  -4.902843e-04
  -2.850442e-06  -9.224461e-07   5.689914e-11   6.106681e-06  -1.787230e-05   1.471167e-09   9.497990e-01   3.073693e-01  -1.895943e-05  -2.034815e+00   5.955247e+00  -4.902091e-04
  -2.849831e-06  -9.242333e-07   5.704626e-11   6.117991e-06  -1.786863e-05   1.470941e-09   9.495953e-01   3.079648e-01  -1.900845e-05  -2.038584e+00   5.954026e+00  -4.901338e-04
  -2.849219e-06  -9.260202e-07   5.719336e-11   6.129300e-06  -1.786496e-05   1.470714e-09   9.493913e-01   3.085602e-01  -1.905746e-05  -2.042352e+00   5.952803e+00  -4.900583e-04
  -2.848605e-06  -9.278067e-07   5.734044e-11   6.140607e-06  -1.786128e-05   1.470487e-09   9.491868e-01   3.091555e-01  -1.910647e-05  -2.046120e+00   5.951577e+00  -4.899825e-04
  -2.847990e-06  -9.295928e-07   5.748749e-11   6.151911e-06  -1.785760e-05   1.470259e-09   9.489820e-01   3.097506e-01  -1.915547e-05  -2.049886e+00   5.950349e+00  -4.899066e-04
  -2.847375e-06  -9.313786e-07   5.763452e-11   6.163214e-06  -1.785390e-05   1.470031e-09   9.487768e-01   3.103457e-01  -1.920446e-05  -2.053653e+00   5.949118e+00  -4.898305e-04
  -2.846758e-06  -9.331639e-07   5.778152e-11   6.174514e-06  -1.785020e-05   1.469802e-09   9.485712e-01   3.109406e-01  -1.925345e-05  -2.057418e+00   5.947885e+00  -4.897542e-04
