Method       t0       tn       N         h
 Euler        0    1e+02 1000000    0.0001

x  -  y  -  z  .........
   1.619821e-06   2.532637e-06  -1.935338e-10  -5.397424e-01  -8.439027e-01   6.448760e-05
   1.459889e-06   2.631630e-06  -2.024406e-10  -4.864512e-01  -8.768882e-01   6.745546e-05
   1.294247e-06   2.720331e-06  -2.105558e-10  -4.312575e-01  -9.064446e-01   7.015953e-05
   1.123561e-06   2.798431e-06  -2.178504e-10  -3.743829e-01  -9.324684e-01   7.259017e-05
   9.485095e-07   2.865661e-06  -2.242988e-10  -3.160539e-01  -9.548700e-01   7.473884e-05
   7.697856e-07   2.921796e-06  -2.298787e-10  -2.565011e-01  -9.735747e-01   7.659815e-05
   5.880904e-07   2.966654e-06  -2.345715e-10  -1.959583e-01  -9.885221e-01   7.816184e-05
   4.041324e-07   3.000099e-06  -2.383619e-10  -1.346614e-01  -9.996664e-01   7.942483e-05
   2.186240e-07   3.022038e-06  -2.412380e-10  -7.284795e-02  -1.006977e+00   8.038319e-05
   3.227924e-08   3.032420e-06  -2.431917e-10  -1.075580e-02  -1.010436e+00   8.103417e-05
  -1.541890e-07   3.031240e-06  -2.442180e-10   5.137747e-02  -1.010043e+00   8.137616e-05
  -3.400712e-07   3.018534e-06  -2.443158e-10   1.133155e-01  -1.005809e+00   8.140874e-05
  -5.246641e-07   2.994382e-06  -2.434871e-10   1.748239e-01  -9.977612e-01   8.113261e-05
  -7.072729e-07   2.958903e-06  -2.417374e-10   2.356712e-01  -9.859393e-01   8.054960e-05
  -8.872132e-07   2.912260e-06  -2.390756e-10   2.956293e-01  -9.703973e-01   7.966266e-05
  -1.063814e-06   2.854654e-06  -2.355139e-10   3.544746e-01  -9.512023e-01   7.847583e-05
  -1.236419e-06   2.786325e-06  -2.310675e-10   4.119886e-01  -9.284345e-01   7.699424e-05
  -1.404390e-06   2.707552e-06  -2.257549e-10   4.679584e-01  -9.021864e-01   7.522405e-05
  -1.567107e-06   2.618649e-06  -2.195978e-10   5.221774e-01  -8.725631e-01   7.317242e-05
  -1.723971e-06   2.519967e-06  -2.126205e-10   5.744464e-01  -8.396810e-01   7.084752e-05
  -1.874408e-06   2.411889e-06  -2.048505e-10   6.245736e-01  -8.036681e-01   6.825846e-05
  -2.017867e-06   2.294831e-06  -1.963178e-10   6.723755e-01  -7.646631e-01   6.541526e-05
  -2.153822e-06   2.169240e-06  -1.870551e-10   7.176774e-01  -7.228148e-01   6.232883e-05
  -2.281779e-06   2.035593e-06  -1.770977e-10   7.603140e-01  -6.782821e-01   5.901092e-05
  -2.401269e-06   1.894393e-06  -1.664832e-10   8.001296e-01  -6.312327e-01   5.547406e-05
  -2.511858e-06   1.746170e-06  -1.552516e-10   8.369789e-01  -5.818432e-01   5.173155e-05
  -2.613141e-06   1.591478e-06  -1.434447e-10   8.707275e-01  -5.302980e-01   4.779737e-05
  -2.704747e-06   1.430892e-06  -1.311067e-10   9.012518e-01  -4.767892e-01   4.368621e-05
  -2.786341e-06   1.265010e-06  -1.182834e-10   9.284398e-01  -4.215154e-01   3.941333e-05
  -2.857622e-06   1.094446e-06  -1.050222e-10   9.521915e-01  -3.646815e-01   3.499457e-05
  -2.918326e-06   9.198304e-07  -9.137234e-11   9.724188e-01  -3.064977e-01   3.044628e-05
  -2.968227e-06   7.418099e-07  -7.738421e-11   9.890461e-01  -2.471793e-01   2.578528e-05
  -3.007135e-06   5.610423e-07  -6.310950e-11   1.002011e+00  -1.869455e-01   2.102879e-05
  -3.034900e-06   3.781958e-07  -4.860095e-11   1.011262e+00  -1.260190e-01   1.619438e-05
  -3.051412e-06   1.939471e-07  -3.391220e-11   1.016764e+00  -6.462531e-02   1.129992e-05
  -3.056599e-06   8.978673e-09  -1.909760e-11   1.018493e+00  -2.991794e-03   6.363533e-06
  -3.050431e-06  -1.760229e-07  -4.212064e-12   1.016438e+00   5.865280e-02   1.403506e-06
  -3.032917e-06  -3.603697e-07   1.068913e-11   1.010602e+00   1.200792e-01  -3.561736e-06
  -3.004107e-06  -5.433741e-07   2.555050e-11   1.001002e+00   1.810583e-01  -8.513709e-06
  -2.964092e-06  -7.243515e-07   4.031654e-11   9.876683e-01   2.413620e-01  -1.343392e-05
  -2.913001e-06  -9.026222e-07   5.493193e-11   9.706444e-01   3.007637e-01  -1.830393e-05
  -2.851007e-06  -1.077514e-06   6.934169e-11   9.499873e-01   3.590397e-01  -2.310542e-05
  -2.778321e-06  -1.248365e-06   8.349137e-11   9.257674e-01   4.159690e-01  -2.782025e-05
  -2.695193e-06  -1.414523e-06   9.732725e-11   8.980681e-01   4.713349e-01  -3.243052e-05
  -2.601913e-06  -1.575354e-06   1.107965e-10   8.669862e-01   5.249253e-01  -3.691862e-05
  -2.498809e-06  -1.730236e-06   1.238474e-10   8.326309e-01   5.765337e-01  -4.126733e-05
  -2.386247e-06  -1.878569e-06   1.364295e-10   7.951242e-01   6.259599e-01  -4.545983e-05
  -2.264631e-06  -2.019772e-06   1.484939e-10   7.546001e-01   6.730105e-01  -4.947982e-05
  -2.134397e-06  -2.153290e-06   1.599932e-10   7.112047e-01   7.175002e-01  -5.331151e-05
  -1.996019e-06  -2.278591e-06   1.708820e-10   6.650955e-01   7.592519e-01  -5.693977e-05
  -1.850002e-06  -2.395172e-06   1.811167e-10   6.164411e-01   7.980977e-01  -6.035011e-05
  -1.696884e-06  -2.502558e-06   1.906563e-10   5.654205e-01   8.338800e-01  -6.352879e-05
  -1.537232e-06  -2.600308e-06   1.994617e-10   5.122228e-01   8.664513e-01  -6.646284e-05
  -1.371643e-06  -2.688013e-06   2.074966e-10   4.570467e-01   8.956758e-01  -6.914016e-05
  -1.200739e-06  -2.765302e-06   2.147274e-10   4.000996e-01   9.214294e-01  -7.154955e-05
  -1.025167e-06  -2.831840e-06   2.211233e-10   3.415971e-01   9.436004e-01  -7.368075e-05
  -8.455966e-07  -2.887330e-06   2.266567e-10   2.817622e-01   9.620904e-01  -7.552453e-05
  -6.627165e-07  -2.931519e-06   2.313029e-10   2.208245e-01   9.768146e-01  -7.707268e-05
  -4.772340e-07  -2.964194e-06   2.350406e-10   1.590197e-01   9.877024e-01  -7.831813e-05
  -2.898710e-07  -2.985187e-06   2.378520e-10   9.658825e-02   9.946975e-01  -7.925492e-05
  -1.013622e-07  -2.994375e-06   2.397227e-10   3.377502e-02   9.977589e-01  -7.987828e-05
   8.754839e-08  -2.991680e-06   2.406422e-10  -2.917210e-02   9.968609e-01  -8.018466e-05
   2.761100e-07  -2.977072e-06   2.406034e-10  -9.200291e-02   9.919934e-01  -8.017173e-05
   4.635679e-07  -2.950568e-06   2.396033e-10  -1.544660e-01   9.831621e-01  -7.983847e-05
   6.491667e-07  -2.912235e-06   2.376424e-10  -2.163096e-01   9.703890e-01  -7.918510e-05
   8.321536e-07  -2.862186e-06   2.347256e-10  -2.772828e-01   9.537121e-01  -7.821318e-05
   1.011781e-06  -2.800584e-06   2.308614e-10  -3.371368e-01   9.331858e-01  -7.692557e-05
   1.187311e-06  -2.727642e-06   2.260622e-10  -3.956253e-01   9.088806e-01  -7.532645e-05
