Method       t0       tn       N         h
Verlet        0  1.0e+02  200000 5.000e-04

x  -  y  -  z  -  vx  -  vy  -  vz .........
   2.966597e-06   4.644730e-07  -1.944332e-11  -2.559340e-06   1.812930e-05  -1.470467e-09  -9.423508e-01  -3.385541e-01   2.150714e-05   2.025030e+00  -5.938507e+00   4.888067e-04
   2.705980e-06   1.334333e-06  -9.082625e-11  -7.766719e-06   1.641735e-05  -1.364372e-09  -7.970231e-01  -6.142529e-01   4.450880e-05   3.736486e+00  -5.001854e+00   4.239195e-04
   2.203505e-06   2.081961e-06  -1.538527e-10  -1.216949e-05   1.328611e-05  -1.139525e-09  -5.750562e-01  -8.309746e-01   6.323766e-05   5.067981e+00  -3.600306e+00   3.194348e-04
   1.508623e-06   2.644156e-06  -2.031530e-10  -1.541715e-05   9.059768e-06  -8.198393e-10  -2.984689e-01  -9.688658e-01   7.596788e-05   5.906217e+00  -1.874269e+00   1.859406e-04
   6.854518e-07   2.975795e-06  -2.347198e-10  -1.727479e-05   4.131042e-06  -4.354224e-10   6.212315e-03  -1.015688e+00   8.155768e-05   6.184632e+00   1.439141e-02   3.602833e-05
  -1.931478e-07   3.052366e-06  -2.461479e-10  -1.762729e-05  -1.073592e-06  -1.981143e-11   3.103294e-01  -9.675571e-01   7.952308e-05   5.884479e+00   1.895329e+00  -1.167426e-04
  -1.051508e-06   2.870898e-06  -2.367436e-10  -1.647647e-05  -6.123462e-06   3.924162e-10   5.854638e-01  -8.290802e-01   7.006292e-05   5.033800e+00   3.601116e+00  -2.587656e-04
  -1.816858e-06   2.449516e-06  -2.075245e-10  -1.393500e-05  -1.060905e-05   7.677148e-10   8.057244e-01  -6.129427e-01   5.403972e-05   3.705200e+00   4.977724e+00  -3.772417e-04
  -2.424673e-06   1.825802e-06  -1.611188e-10  -1.021819e-05  -1.416523e-05   1.075484e-09   9.498966e-01  -3.389805e-01   3.291798e-05   2.012430e+00   5.894932e+00  -4.610352e-04
  -2.823544e-06   1.053996e-06  -1.015708e-10  -5.633148e-06  -1.649434e-05   1.289988e-09   1.003376e+00  -3.272024e-02   8.658688e-06   1.050153e-01   6.257192e+00  -5.015785e-04
  -2.979401e-06   2.010323e-07  -3.404793e-11  -5.631336e-07  -1.738971e-05   1.392334e-09   9.597573e-01   2.766324e-01  -1.643258e-05  -1.840370e+00   6.014696e+00  -4.938115e-04
  -2.878774e-06  -6.585891e-07   3.555132e-11   4.555673e-06  -1.675842e-05   1.372441e-09   8.218846e-01   5.587363e-01  -3.990350e-05  -3.633064e+00   5.173270e+00  -4.370557e-04
  -2.530656e-06  -1.448973e-06   1.010815e-10   9.266915e-06  -1.463945e-05   1.230695e-09   6.021157e-01   7.850741e-01  -5.939094e-05  -5.086598e+00   3.800601e+00  -3.356227e-04
