Method       t0       tn       N         h
 Euler        0        2    1000     0.002

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.364788e-06  -1.825665e-06   1.323125e-10   1.183043e-05  -1.490626e-05   1.267521e-09   7.879736e-01   6.083318e-01  -4.408798e-05  -3.942032e+00   4.966930e+00  -4.223522e-04
  -2.341103e-06  -1.855507e-06   1.348500e-10   1.201990e-05  -1.475999e-05   1.256921e-09   7.800816e-01   6.182757e-01  -4.493353e-05  -4.005163e+00   4.918191e+00  -4.188199e-04
  -2.317039e-06  -1.885057e-06   1.373664e-10   1.220751e-05  -1.461129e-05   1.246114e-09   7.720633e-01   6.281219e-01  -4.577201e-05  -4.067678e+00   4.868643e+00  -4.152190e-04
  -2.292600e-06  -1.914309e-06   1.398611e-10   1.239325e-05  -1.446018e-05   1.235103e-09   7.639198e-01   6.378689e-01  -4.660328e-05  -4.129568e+00   4.818292e+00  -4.115499e-04
  -2.267789e-06  -1.943258e-06   1.423338e-10   1.257707e-05  -1.430669e-05   1.223888e-09   7.556523e-01   6.475151e-01  -4.742720e-05  -4.190820e+00   4.767147e+00  -4.078132e-04
  -2.242609e-06  -1.971900e-06   1.447840e-10   1.275895e-05  -1.415084e-05   1.212473e-09   7.472623e-01   6.570590e-01  -4.824364e-05  -4.251424e+00   4.715216e+00  -4.040094e-04
  -2.217066e-06  -2.000230e-06   1.472114e-10   1.293885e-05  -1.399265e-05   1.200858e-09   7.387510e-01   6.664989e-01  -4.905247e-05  -4.311370e+00   4.662506e+00  -4.001393e-04
  -2.191162e-06  -2.028243e-06   1.496155e-10   1.311675e-05  -1.383215e-05   1.189046e-09   7.301196e-01   6.758332e-01  -4.985355e-05  -4.370646e+00   4.609027e+00  -3.962034e-04
  -2.164903e-06  -2.055935e-06   1.519960e-10   1.329261e-05  -1.366937e-05   1.177038e-09   7.213695e-01   6.850605e-01  -5.064675e-05  -4.429244e+00   4.554786e+00  -3.922023e-04
  -2.138291e-06  -2.083301e-06   1.543524e-10   1.346639e-05  -1.350433e-05   1.164837e-09   7.125022e-01   6.941792e-01  -5.143194e-05  -4.487151e+00   4.499793e+00  -3.881366e-04
  -2.111331e-06  -2.110337e-06   1.566844e-10   1.363808e-05  -1.333706e-05   1.152444e-09   7.035189e-01   7.031878e-01  -5.220899e-05  -4.544359e+00   4.444057e+00  -3.840071e-04
