Method       t0       tn       N         h  beta      Time used [s]
Verlet        0  1.0e+01  100000 1.000e-04  2.000000       0.028893

x  -  y  -  z  .........
   1.604249e-06   2.617471e-06  -2.004363e-10  -5.345534e-01  -8.721705e-01   6.678761e-05
   1.446713e-06   2.712844e-06  -2.090382e-10  -4.820610e-01  -9.039498e-01   6.965385e-05
   1.283867e-06   2.798259e-06  -2.168728e-10  -4.277988e-01  -9.324110e-01   7.226442e-05
   1.116327e-06   2.873444e-06  -2.239145e-10  -3.719726e-01  -9.574636e-01   7.461081e-05
   9.447213e-07   2.938166e-06  -2.301409e-10  -3.147916e-01  -9.790294e-01   7.668549e-05
   7.696869e-07   2.992225e-06  -2.355321e-10  -2.564682e-01  -9.970426e-01   7.848190e-05
   5.918680e-07   3.035461e-06  -2.400713e-10  -1.972170e-01  -1.011449e+00   7.999443e-05
   4.119143e-07   3.067749e-06  -2.437447e-10  -1.372544e-01  -1.022208e+00   8.121845e-05
   2.304784e-07   3.089001e-06  -2.465413e-10  -7.679795e-02  -1.029289e+00   8.215030e-05
   4.821500e-08   3.099166e-06  -2.484529e-10  -1.606577e-02  -1.032676e+00   8.278728e-05
  -1.342213e-07   3.098227e-06  -2.494745e-10   4.472403e-02  -1.032364e+00   8.312766e-05
  -3.161776e-07   3.086206e-06  -2.496036e-10   1.053539e-01  -1.028358e+00   8.317069e-05
  -4.970044e-07   3.063159e-06  -2.488409e-10   1.656074e-01  -1.020678e+00   8.291656e-05
  -6.760570e-07   3.029176e-06  -2.471899e-10   2.252697e-01  -1.009355e+00   8.236643e-05
  -8.526973e-07   2.984384e-06  -2.446569e-10   2.841282e-01  -9.944300e-01   8.152240e-05
  -1.026295e-06   2.928945e-06  -2.412510e-10   3.419730e-01  -9.759569e-01   8.038751e-05
  -1.196231e-06   2.863053e-06  -2.369841e-10   3.985973e-01  -9.540010e-01   7.896573e-05
  -1.361894e-06   2.786937e-06  -2.318710e-10   4.537983e-01  -9.286383e-01   7.726198e-05
  -1.522690e-06   2.700859e-06  -2.259290e-10   5.073771e-01  -8.999563e-01   7.528205e-05
  -1.678035e-06   2.605115e-06  -2.191784e-10   5.591399e-01  -8.680532e-01   7.303268e-05
  -1.827364e-06   2.500031e-06  -2.116420e-10   6.088980e-01  -8.330380e-01   7.052147e-05
  -1.970128e-06   2.385965e-06  -2.033453e-10   6.564685e-01  -7.950301e-01   6.775691e-05
  -2.105797e-06   2.263308e-06  -1.943163e-10   7.016749e-01  -7.541592e-01   6.474836e-05
  -2.233862e-06   2.132478e-06  -1.845857e-10   7.443477e-01  -7.105653e-01   6.150602e-05
  -2.353836e-06   1.993925e-06  -1.741866e-10   7.843244e-01  -6.643979e-01   5.804092e-05
  -2.465256e-06   1.848126e-06  -1.631545e-10   8.214508e-01  -6.158162e-01   5.436490e-05
  -2.567685e-06   1.695587e-06  -1.515274e-10   8.555810e-01  -5.649885e-01   5.049061e-05
  -2.660710e-06   1.536840e-06  -1.393454e-10   8.865781e-01  -5.120920e-01   4.643144e-05
  -2.743951e-06   1.372441e-06  -1.266510e-10   9.143149e-01  -4.573126e-01   4.220153e-05
  -2.817055e-06   1.202973e-06  -1.134888e-10   9.386741e-01  -4.008439e-01   3.781574e-05
  -2.879703e-06   1.029040e-06  -9.990544e-11   9.595491e-01  -3.428876e-01   3.328960e-05
