Method       t0       tn       N         h
Verlet        0  2.0e+00    1000 2.002e-03

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.358743e-06  -1.821206e-06   1.319909e-10   1.181819e-05  -1.486125e-05   1.263836e-09   7.859077e-01   6.068193e-01  -4.397900e-05  -3.940567e+00   4.950347e+00  -4.210124e-04
  -2.334892e-06  -1.850811e-06   1.345104e-10   1.200722e-05  -1.471338e-05   1.253104e-09   7.779552e-01   6.166808e-01  -4.481831e-05  -4.003717e+00   4.900940e+00  -4.174267e-04
  -2.310665e-06  -1.880117e-06   1.370082e-10   1.219439e-05  -1.456308e-05   1.242166e-09   7.698768e-01   6.264426e-01  -4.565037e-05  -4.066256e+00   4.850713e+00  -4.137714e-04
  -2.286065e-06  -1.909120e-06   1.394840e-10   1.237968e-05  -1.441035e-05   1.231022e-09   7.616739e-01   6.361031e-01  -4.647505e-05  -4.128171e+00   4.799673e+00  -4.100471e-04
  -2.261096e-06  -1.937815e-06   1.419372e-10   1.256306e-05  -1.425523e-05   1.219674e-09   7.533476e-01   6.456605e-01  -4.729220e-05  -4.189452e+00   4.747827e+00  -4.062543e-04
  -2.235761e-06  -1.966197e-06   1.443675e-10   1.274448e-05  -1.409773e-05   1.208124e-09   7.448993e-01   6.551134e-01  -4.810169e-05  -4.250087e+00   4.695183e+00  -4.023935e-04
  -2.210066e-06  -1.994262e-06   1.467745e-10   1.292393e-05  -1.393789e-05   1.196374e-09   7.363302e-01   6.644601e-01  -4.890339e-05  -4.310068e+00   4.641748e+00  -3.984655e-04
  -2.184013e-06  -2.022004e-06   1.491577e-10   1.310136e-05  -1.377573e-05   1.184425e-09   7.276418e-01   6.736990e-01  -4.969715e-05  -4.369381e+00   4.587532e+00  -3.944706e-04
  -2.157607e-06  -2.049419e-06   1.515168e-10   1.327676e-05  -1.361128e-05   1.172280e-09   7.188352e-01   6.828286e-01  -5.048285e-05  -4.428018e+00   4.532541e+00  -3.904095e-04
  -2.130852e-06  -2.076502e-06   1.538514e-10   1.345008e-05  -1.344455e-05   1.159941e-09   7.099120e-01   6.918473e-01  -5.126035e-05  -4.485967e+00   4.476785e+00  -3.862829e-04
  -2.103751e-06  -2.103250e-06   1.561611e-10   1.362129e-05  -1.327557e-05   1.147408e-09   7.008734e-01   7.007536e-01  -5.202953e-05  -4.543218e+00   4.420272e+00  -3.820912e-04
  -2.076311e-06  -2.129656e-06   1.584456e-10   1.379037e-05  -1.310438e-05   1.134684e-09   6.917209e-01   7.095461e-01  -5.279025e-05  -4.599761e+00   4.363010e+00  -3.778353e-04
  -2.048533e-06  -2.155718e-06   1.607043e-10   1.395728e-05  -1.293100e-05   1.121772e-09   6.824559e-01   7.182231e-01  -5.354238e-05  -4.655585e+00   4.305008e+00  -3.735156e-04
  -2.020424e-06  -2.181431e-06   1.629370e-10   1.412200e-05  -1.275545e-05   1.108672e-09   6.730799e-01   7.267834e-01  -5.428581e-05  -4.710681e+00   4.246276e+00  -3.691329e-04
  -1.991988e-06  -2.206790e-06   1.651433e-10   1.428449e-05  -1.257776e-05   1.095388e-09   6.635943e-01   7.352252e-01  -5.502039e-05  -4.765039e+00   4.186821e+00  -3.646878e-04
  -1.963228e-06  -2.231791e-06   1.673229e-10   1.444473e-05  -1.239797e-05   1.081921e-09   6.540007e-01   7.435474e-01  -5.574602e-05  -4.818648e+00   4.126654e+00  -3.601811e-04
  -1.934150e-06  -2.256430e-06   1.694752e-10   1.460268e-05  -1.221610e-05   1.068274e-09   6.443005e-01   7.517484e-01  -5.646256e-05  -4.871498e+00   4.065784e+00  -3.556133e-04
  -1.904757e-06  -2.280702e-06   1.716001e-10   1.475833e-05  -1.203218e-05   1.054448e-09   6.344952e-01   7.598268e-01  -5.716989e-05  -4.923581e+00   4.004220e+00  -3.509852e-04
  -1.875056e-06  -2.304605e-06   1.736971e-10   1.491163e-05  -1.184624e-05   1.040446e-09   6.245864e-01   7.677813e-01  -5.786791e-05  -4.974887e+00   3.941972e+00  -3.462976e-04
  -1.845050e-06  -2.328133e-06   1.757659e-10   1.506257e-05  -1.165831e-05   1.026270e-09   6.145757e-01   7.756105e-01  -5.855647e-05  -5.025406e+00   3.879050e+00  -3.415511e-04
  -1.814744e-06  -2.351283e-06   1.778062e-10   1.521112e-05  -1.146843e-05   1.011923e-09   6.044647e-01   7.833130e-01  -5.923548e-05  -5.075129e+00   3.815463e+00  -3.367465e-04
  -1.784143e-06  -2.374051e-06   1.798175e-10   1.535724e-05  -1.127661e-05   9.974056e-10   5.942549e-01   7.908876e-01  -5.990481e-05  -5.124047e+00   3.751222e+00  -3.318846e-04
  -1.753252e-06  -2.396433e-06   1.817996e-10   1.550092e-05  -1.108290e-05   9.827218e-10   5.839480e-01   7.983329e-01  -6.056434e-05  -5.172151e+00   3.686337e+00  -3.269660e-04
  -1.722076e-06  -2.418425e-06   1.837522e-10   1.564212e-05  -1.088732e-05   9.678734e-10   5.735456e-01   8.056477e-01  -6.121398e-05  -5.219432e+00   3.620818e+00  -3.219917e-04
  -1.690620e-06  -2.440023e-06   1.856749e-10   1.578083e-05  -1.068991e-05   9.528628e-10   5.630493e-01   8.128307e-01  -6.185360e-05  -5.265880e+00   3.554676e+00  -3.169623e-04
  -1.658888e-06  -2.461225e-06   1.875673e-10   1.591701e-05  -1.049070e-05   9.376926e-10   5.524610e-01   8.198807e-01  -6.248310e-05  -5.311489e+00   3.487922e+00  -3.118787e-04
  -1.626886e-06  -2.482026e-06   1.894292e-10   1.605064e-05  -1.028972e-05   9.223652e-10   5.417821e-01   8.267964e-01  -6.310236e-05  -5.356248e+00   3.420565e+00  -3.067417e-04
  -1.594620e-06  -2.502423e-06   1.912603e-10   1.618170e-05  -1.008700e-05   9.068831e-10   5.310145e-01   8.335766e-01  -6.371129e-05  -5.400150e+00   3.352618e+00  -3.015521e-04
  -1.562093e-06  -2.522412e-06   1.930602e-10   1.631016e-05  -9.882589e-06   8.912489e-10   5.201599e-01   8.402203e-01  -6.430978e-05  -5.443186e+00   3.284090e+00  -2.963107e-04
  -1.529313e-06  -2.541990e-06   1.948286e-10   1.643600e-05  -9.676509e-06   8.754653e-10   5.092200e-01   8.467261e-01  -6.489772e-05  -5.485349e+00   3.214994e+00  -2.910185e-04
  -1.496282e-06  -2.561154e-06   1.965654e-10   1.655920e-05  -9.468797e-06   8.595348e-10   4.981965e-01   8.530931e-01  -6.547502e-05  -5.526630e+00   3.145340e+00  -2.856761e-04
  -1.463008e-06  -2.579901e-06   1.982700e-10   1.667973e-05  -9.259488e-06   8.434600e-10   4.870913e-01   8.593201e-01  -6.604157e-05  -5.567022e+00   3.075139e+00  -2.802846e-04
  -1.429495e-06  -2.598226e-06   1.999424e-10   1.679757e-05  -9.048617e-06   8.272438e-10   4.759062e-01   8.654060e-01  -6.659728e-05  -5.606517e+00   3.004404e+00  -2.748447e-04
  -1.395749e-06  -2.616128e-06   2.015821e-10   1.691271e-05  -8.836219e-06   8.108887e-10   4.646428e-01   8.713497e-01  -6.714205e-05  -5.645107e+00   2.933145e+00  -2.693574e-04
  -1.361775e-06  -2.633604e-06   2.031889e-10   1.702511e-05  -8.622331e-06   7.943976e-10   4.533031e-01   8.771503e-01  -6.767579e-05  -5.682786e+00   2.861375e+00  -2.638236e-04
  -1.327579e-06  -2.650649e-06   2.047626e-10   1.713477e-05  -8.406988e-06   7.777732e-10   4.418889e-01   8.828067e-01  -6.819840e-05  -5.719545e+00   2.789105e+00  -2.582441e-04
  -1.293166e-06  -2.667262e-06   2.063029e-10   1.724165e-05  -8.190227e-06   7.610183e-10   4.304020e-01   8.883179e-01  -6.870980e-05  -5.755379e+00   2.716347e+00  -2.526200e-04
  -1.258542e-06  -2.683440e-06   2.078095e-10   1.734574e-05  -7.972085e-06   7.441357e-10   4.188444e-01   8.936830e-01  -6.920989e-05  -5.790280e+00   2.643114e+00  -2.469520e-04
  -1.223713e-06  -2.699179e-06   2.092822e-10   1.744702e-05  -7.752599e-06   7.271284e-10   4.072177e-01   8.989009e-01  -6.969860e-05  -5.824241e+00   2.569417e+00  -2.412412e-04
  -1.188683e-06  -2.714478e-06   2.107207e-10   1.754548e-05  -7.531806e-06   7.099993e-10   3.955241e-01   9.039709e-01  -7.017582e-05  -5.857256e+00   2.495268e+00  -2.354884e-04
  -1.153459e-06  -2.729333e-06   2.121247e-10   1.764109e-05  -7.309744e-06   6.927511e-10   3.837653e-01   9.088920e-01  -7.064149e-05  -5.889318e+00   2.420681e+00  -2.296947e-04
  -1.118047e-06  -2.743743e-06   2.134942e-10   1.773383e-05  -7.086450e-06   6.753869e-10   3.719432e-01   9.136633e-01  -7.109552e-05  -5.920422e+00   2.345667e+00  -2.238610e-04
  -1.082452e-06  -2.757704e-06   2.148287e-10   1.782370e-05  -6.861964e-06   6.579097e-10   3.600599e-01   9.182841e-01  -7.153783e-05  -5.950561e+00   2.270239e+00  -2.179883e-04
  -1.046679e-06  -2.771214e-06   2.161281e-10   1.791067e-05  -6.636323e-06   6.403223e-10   3.481172e-01   9.227534e-01  -7.196835e-05  -5.979730e+00   2.194410e+00  -2.120775e-04
  -1.010736e-06  -2.784272e-06   2.173923e-10   1.799473e-05  -6.409567e-06   6.226280e-10   3.361170e-01   9.270705e-01  -7.238699e-05  -6.007922e+00   2.118192e+00  -2.061297e-04
  -9.746274e-07  -2.796874e-06   2.186208e-10   1.807586e-05  -6.181734e-06   6.048296e-10   3.240614e-01   9.312346e-01  -7.279369e-05  -6.035132e+00   2.041599e+00  -2.001458e-04
