Method       t0       tn       N         h
Verlet        0  4.0e+01 1000000 4.000e-05

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.843875e-06  -8.864436e-07   5.404902e-11   9.476108e-01   2.953729e-01  -1.800973e-05
  -2.802497e-06  -9.523210e-07   5.958520e-11   9.338231e-01   3.173239e-01  -1.985445e-05
  -2.759261e-06  -1.017567e-06   6.508185e-11   9.194164e-01   3.390646e-01  -2.168600e-05
  -2.714154e-06  -1.082123e-06   7.053437e-11   9.043862e-01   3.605753e-01  -2.350283e-05
  -2.667165e-06  -1.145928e-06   7.593794e-11   8.887288e-01   3.818358e-01  -2.530337e-05
  -2.618282e-06  -1.208919e-06   8.128761e-11   8.724408e-01   4.028253e-01  -2.708593e-05
  -2.567499e-06  -1.271033e-06   8.657824e-11   8.555193e-01   4.235222e-01  -2.884883e-05
  -2.514808e-06  -1.332201e-06   9.180452e-11   8.379620e-01   4.439043e-01  -3.059028e-05
  -2.460204e-06  -1.392357e-06   9.696094e-11   8.197674e-01   4.639487e-01  -3.230846e-05
  -2.403685e-06  -1.451428e-06   1.020418e-10   8.009345e-01   4.836318e-01  -3.400148e-05
  -2.345249e-06  -1.509341e-06   1.070414e-10   7.814630e-01   5.029292e-01  -3.566737e-05
  -2.284899e-06  -1.566022e-06   1.119535e-10   7.613537e-01   5.218159e-01  -3.730415e-05
  -2.222638e-06  -1.621394e-06   1.167720e-10   7.406078e-01   5.402663e-01  -3.890973e-05
  -2.158475e-06  -1.675376e-06   1.214905e-10   7.192278e-01   5.582540e-01  -4.048199e-05
  -2.092419e-06  -1.727890e-06   1.261024e-10   6.972171e-01   5.757520e-01  -4.201873e-05
  -2.024482e-06  -1.778850e-06   1.306010e-10   6.745800e-01   5.927326e-01  -4.351771e-05
  -1.954683e-06  -1.828173e-06   1.349794e-10   6.513220e-01   6.091676e-01  -4.497663e-05
  -1.883040e-06  -1.875772e-06   1.392305e-10   6.274499e-01   6.250280e-01  -4.639314e-05
  -1.809579e-06  -1.921558e-06   1.433470e-10   6.029717e-01   6.402844e-01  -4.776481e-05
  -1.734326e-06  -1.965442e-06   1.473216e-10   5.778966e-01   6.549070e-01  -4.908918e-05
  -1.657314e-06  -2.007332e-06   1.511467e-10   5.522355e-01   6.688652e-01  -5.036377e-05
  -1.578580e-06  -2.047135e-06   1.548148e-10   5.260005e-01   6.821282e-01  -5.158600e-05
  -1.498166e-06  -2.084759e-06   1.583180e-10   4.992056e-01   6.946648e-01  -5.275330e-05
  -1.416118e-06  -2.120108e-06   1.616484e-10   4.718662e-01   7.064435e-01  -5.386304e-05
  -1.332487e-06  -2.153087e-06   1.647982e-10   4.439995e-01   7.174325e-01  -5.491258e-05
  -1.247331e-06  -2.183601e-06   1.677592e-10   4.156246e-01   7.276002e-01  -5.589924e-05
  -1.160713e-06  -2.211554e-06   1.705236e-10   3.867624e-01   7.369144e-01  -5.682035e-05
  -1.072701e-06  -2.236851e-06   1.730831e-10   3.574358e-01   7.453436e-01  -5.767320e-05
  -9.833698e-07  -2.259396e-06   1.754297e-10   3.276697e-01   7.528560e-01  -5.845511e-05
  -8.928010e-07  -2.279097e-06   1.775553e-10   2.974912e-01   7.594203e-01  -5.916341e-05
  -8.010818e-07  -2.295859e-06   1.794522e-10   2.669293e-01   7.650057e-01  -5.979545e-05
  -7.083063e-07  -2.309593e-06   1.811122e-10   2.360155e-01   7.695819e-01  -6.034860e-05
  -6.145754e-07  -2.320209e-06   1.825278e-10   2.047833e-01   7.731194e-01  -6.082030e-05
  -5.199965e-07  -2.327623e-06   1.836915e-10   1.732686e-01   7.755897e-01  -6.120804e-05
  -4.246840e-07  -2.331750e-06   1.845958e-10   1.415094e-01   7.769651e-01  -6.150937e-05
  -3.287594e-07  -2.332514e-06   1.852338e-10   1.095463e-01   7.772194e-01  -6.172196e-05
  -2.323505e-07  -2.329838e-06   1.855987e-10   7.742177e-02   7.763279e-01  -6.184355e-05
  -1.355923e-07  -2.323655e-06   1.856841e-10   4.518087e-02   7.742676e-01  -6.187202e-05
  -3.862620e-08  -2.313900e-06   1.854842e-10   1.287068e-02   7.710170e-01  -6.180538e-05
   5.839999e-08  -2.300515e-06   1.849932e-10  -1.945952e-02   7.665572e-01  -6.164180e-05
   1.553323e-07  -2.283451e-06   1.842064e-10  -5.175843e-02   7.608711e-01  -6.137962e-05
   2.520108e-07  -2.262663e-06   1.831193e-10  -8.397279e-02   7.539446e-01  -6.101737e-05
   3.482702e-07  -2.238118e-06   1.817280e-10  -1.160475e-01   7.457658e-01  -6.055377e-05
   4.439403e-07  -2.209789e-06   1.800294e-10  -1.479258e-01   7.363261e-01  -5.998779e-05
   5.388463e-07  -2.177658e-06   1.780211e-10  -1.795496e-01   7.256198e-01  -5.931862e-05
   6.328095e-07  -2.141719e-06   1.757016e-10  -2.108591e-01   7.136445e-01  -5.854571e-05
   7.256480e-07  -2.101975e-06   1.730698e-10  -2.417940e-01   7.004014e-01  -5.766879e-05
   8.171774e-07  -2.058441e-06   1.701260e-10  -2.722926e-01   6.858953e-01  -5.668787e-05
   9.072116e-07  -2.011141e-06   1.668710e-10  -3.022930e-01   6.701346e-01  -5.560327e-05
   9.955638e-07  -1.960114e-06   1.633067e-10  -3.317329e-01   6.531317e-01  -5.441560e-05
   1.082047e-06  -1.905408e-06   1.594358e-10  -3.605501e-01   6.349030e-01  -5.312579e-05
   1.166475e-06  -1.847084e-06   1.552623e-10  -3.886826e-01   6.154688e-01  -5.173512e-05
   1.248665e-06  -1.785215e-06   1.507908e-10  -4.160691e-01   5.948536e-01  -5.024517e-05
   1.328435e-06  -1.719888e-06   1.460272e-10  -4.426494e-01   5.730859e-01  -4.865788e-05
   1.405609e-06  -1.651200e-06   1.409782e-10  -4.683644e-01   5.501983e-01  -4.697549e-05
   1.480014e-06  -1.579260e-06   1.356515e-10  -4.931571e-01   5.262271e-01  -4.520060e-05
   1.551485e-06  -1.504190e-06   1.300560e-10  -5.169721e-01   5.012128e-01  -4.333610e-05
   1.619863e-06  -1.426121e-06   1.242012e-10  -5.397565e-01   4.751994e-01  -4.138522e-05
   1.684998e-06  -1.345197e-06   1.180977e-10  -5.614601e-01   4.482346e-01  -3.935148e-05
   1.746747e-06  -1.261570e-06   1.117570e-10  -5.820356e-01   4.203692e-01  -3.723868e-05
