Method       t0       tn       N         h
 Euler        0    1e+02  200000    0.0005

x  -  y  -  z  -  vx  -  vy  -  vz .........
   3.150157e-06  -9.316213e-08   2.641676e-11   1.013098e-06   1.843309e-05  -1.473371e-09  -1.049667e+00   3.104266e-02  -8.802358e-06  -3.375755e-01  -6.142111e+00   4.909437e-04
   3.069133e-06   8.198673e-07  -4.735122e-11  -4.263393e-06   1.782755e-05  -1.456493e-09  -1.022669e+00  -2.731889e-01   1.577795e-05   1.420610e+00  -5.940337e+00   4.853197e-04
   2.734162e-06   1.666149e-06  -1.172888e-10  -9.072963e-06   1.577870e-05  -1.320966e-09  -9.110532e-01  -5.551795e-01   3.908192e-05   3.023212e+00  -5.257637e+00   4.401606e-04
   2.177884e-06   2.378753e-06  -1.778277e-10  -1.305442e-05   1.251308e-05  -1.082801e-09  -7.256952e-01  -7.926268e-01   5.925415e-05   4.349877e+00  -4.169498e+00   3.608014e-04
   1.448790e-06   2.904012e-06  -2.243690e-10  -1.593753e-05   8.330023e-06  -7.643978e-10  -4.827530e-01  -9.676489e-01   7.476225e-05   5.310561e+00  -2.775656e+00   2.547058e-04
   6.065106e-07   3.204386e-06  -2.535414e-10  -1.754801e-05   3.570993e-06  -3.921149e-10  -2.020961e-01  -1.067737e+00   8.448281e-05   5.847192e+00  -1.189895e+00   1.306570e-04
  -2.829467e-07   3.259926e-06  -2.633468e-10  -1.780515e-05  -1.405320e-06   5.744060e-12   9.428099e-02  -1.086244e+00   8.775007e-05   5.932875e+00   4.682681e-01  -1.913984e-06
  -1.151740e-06   3.068638e-06  -2.532172e-10  -1.671621e-05  -6.242310e-06   4.005137e-10   3.837726e-01  -1.022504e+00   8.437477e-05   5.570026e+00   2.080007e+00  -1.334556e-04
  -1.934440e-06   2.645985e-06  -2.240002e-10  -1.437020e-05  -1.060073e-05   7.644307e-10   6.445769e-01  -8.816715e-01   7.463937e-05   4.788311e+00   3.532281e+00  -2.547168e-04
  -2.571976e-06   2.023683e-06  -1.778866e-10  -1.093236e-05  -1.417222e-05   1.071752e-09   8.570110e-01  -6.743137e-01   5.927378e-05   3.642785e+00   4.722342e+00  -3.571197e-04
  -3.015314e-06   1.247822e-06  -1.182804e-10  -6.638627e-06  -1.669319e-05   1.299903e-09   1.004736e+00  -4.157880e-01   3.941235e-05   2.212064e+00   5.562358e+00  -4.331421e-04
  -3.228827e-06   3.762415e-07  -4.961004e-11  -1.788660e-06  -1.796049e-05   1.430777e-09   1.075881e+00  -1.253679e-01   1.653062e-05   5.960013e-01   5.984636e+00  -4.767509e-04
  -3.193239e-06  -5.249139e-07   2.293175e-11   3.265110e-06  -1.784905e-05   1.452217e-09   1.064023e+00   1.749071e-01  -7.641115e-06  -1.087971e+00   5.947501e+00  -4.838948e-04
  -2.907852e-06  -1.385555e-06   9.372366e-11   8.135188e-06  -1.632992e-05   1.359570e-09   9.689285e-01   4.616823e-01  -3.122976e-05  -2.710735e+00   5.441311e+00  -4.530238e-04
