Method       t0       tn       N         h
 Euler        0        1   10000    0.0001

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.866536e-06  -8.740602e-07   5.291887e-11   5.800548e-06  -1.796861e-05   1.477057e-09   9.551616e-01   2.912466e-01  -1.763316e-05  -1.932807e+00   5.987342e+00  -4.921718e-04
  -2.865956e-06  -8.758572e-07   5.306659e-11   5.811914e-06  -1.796515e-05   1.476847e-09   9.549683e-01   2.918454e-01  -1.768238e-05  -1.936594e+00   5.986187e+00  -4.921019e-04
  -2.865375e-06  -8.776539e-07   5.321429e-11   5.823278e-06  -1.796167e-05   1.476637e-09   9.547746e-01   2.924440e-01  -1.773159e-05  -1.940381e+00   5.985029e+00  -4.920317e-04
  -2.864792e-06  -8.794503e-07   5.336197e-11   5.834641e-06  -1.795819e-05   1.476426e-09   9.545806e-01   2.930426e-01  -1.778080e-05  -1.944167e+00   5.983870e+00  -4.919614e-04
  -2.864209e-06  -8.812463e-07   5.350963e-11   5.846001e-06  -1.795471e-05   1.476214e-09   9.543861e-01   2.936410e-01  -1.783000e-05  -1.947952e+00   5.982708e+00  -4.918909e-04
  -2.863624e-06  -8.830419e-07   5.365726e-11   5.857359e-06  -1.795121e-05   1.476002e-09   9.541913e-01   2.942394e-01  -1.787920e-05  -1.951737e+00   5.981543e+00  -4.918202e-04
  -2.863038e-06  -8.848372e-07   5.380488e-11   5.868715e-06  -1.794771e-05   1.475789e-09   9.539961e-01   2.948376e-01  -1.792838e-05  -1.955521e+00   5.980376e+00  -4.917493e-04
  -2.862451e-06  -8.866322e-07   5.395247e-11   5.880070e-06  -1.794420e-05   1.475576e-09   9.538006e-01   2.954357e-01  -1.797756e-05  -1.959305e+00   5.979207e+00  -4.916782e-04
  -2.861863e-06  -8.884268e-07   5.410004e-11   5.891422e-06  -1.794069e-05   1.475362e-09   9.536046e-01   2.960337e-01  -1.802674e-05  -1.963087e+00   5.978035e+00  -4.916069e-04
  -2.861274e-06  -8.902210e-07   5.424760e-11   5.902772e-06  -1.793716e-05   1.475147e-09   9.534083e-01   2.966315e-01  -1.807590e-05  -1.966869e+00   5.976861e+00  -4.915354e-04
