 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)
             20              1         170735     -1.9972827     0.99933706      1595.5791      399.44646             12      0.6148227
             20              1         187381     -1.9972581     0.99932133      1595.5712      399.44176             12      0.6568762
             20              1         205651      -1.997243     0.99931104      1595.5737      399.44021             12      0.7287742
             20              1         225701     -1.9963497     0.99661933       1594.242      398.17358             12      0.8098755
             20              1         247707     -1.9972392     0.99930983       1595.566      399.43885             12      0.8980052
             20              1         271858     -1.9971889     0.99929367      1595.4973      399.42885             12      1.0287383
             20              1         298364     -1.9971461     0.99927533      1595.4533      399.42025             12      1.1039847
             20              1         327454     -1.9971885     0.99929758      1595.4828      399.42845             12      1.2682092
             20              1         359381     -1.9971317     0.99927498        1595.42      399.41733             12      1.4553342
             20              1         394420     -1.9971786     0.99928306      1595.5015      399.42553             12      1.4891152
             20              1         432876     -1.9971386     0.99927422      1595.4338      399.41748             12      1.6250245
             20              1         475081     -1.9971186     0.99926611      1595.4122      399.41357             12      1.7309164
             20              1         521400     -1.9971609      0.9992876      1595.4435      399.42166             12      1.9526873
             20              1         572236     -1.9972019     0.99929733      1595.5122      399.43032             12      2.1461912
             20              1         628029     -1.9971819     0.99928559      1595.5039      399.42685             12      2.4246223
             20              1         689261     -1.9972111     0.99929214      1595.5545      399.43313             12      2.6836939
             20              1         756463     -1.9971808     0.99928544      1595.5016      399.42659             12      2.8386526
             20              1         830217     -1.9971892     0.99928573      1595.5212      399.42841             12      3.0375053
             20              1         911162     -1.9971746     0.99928106      1595.5011      399.42544             12      3.4729759
             20              1        1000000     -1.9971773     0.99928486      1595.4952      399.42592             12      3.7327115
