 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)
             20            2.4         481017     -1.2382233     0.45612185      568.23424      3565.5248             12      1.8149796
             20              1         493675      -1.994926     0.99326724      111.64834      730.80555             12      1.8383194
             20            2.4         493675     -1.2355404     0.45128023      560.34361      3513.0592             12      1.8328759
             20              1         506334     -1.9955326     0.99464591      84.474646      607.35309             12      1.9403016
             20            2.4         506334     -1.2370562     0.45408814      568.06196      3544.0342             12      2.0040501
             20              1         518992     -1.9959118     0.99618409      70.157425      368.26269             12      1.8807337
             20            2.4         518992     -1.2336191     0.44622331      563.01523      3549.2142             12      1.9562131
             20              1         531650     -1.9960304     0.99661982      66.235606      304.87226             12      1.9362247
             20            2.4         531650     -1.2363462      0.4508075       566.7762      3568.4049             12      2.0618916
             20              1         544308     -1.9951191     0.99354062      101.24126      727.53952             12      2.0513839
             20            2.4         544308     -1.2354263      0.4497498      561.08433      3525.0748             12      1.9738265
             20              1         556966     -1.9955538     0.99535173      83.378117      448.35033             12      2.0262835
             20            2.4         556966     -1.2362668     0.45096212      570.46299      3590.3753             12      2.0343248
             20              1         569624      -1.995799     0.99551852       73.78401      477.69628             12      2.0613155
             20            2.4         569624     -1.2372321     0.45250054      564.59902      3564.0787             12      2.0820055
             20              1         582282     -1.9948242     0.99289095      112.85936      761.85218             12      2.0896297
             20            2.4         582282     -1.2368328     0.45344875      564.39428      3535.1653             12      2.1258791
             20              1         594940     -1.9966602     0.99825952      40.616135      116.30254             12      2.1522642
             20            2.4         594940     -1.2369621       0.452962      565.62412      3537.1771             12      2.1701033
             20              1         607598     -1.9967597     0.99857615      36.255274      73.587661             12      2.2233916
             20            2.4         607598     -1.2363302     0.45021872      566.06233      3565.5733             12      2.2120497
             20              1         620256     -1.9962515     0.99701888      55.894456       271.1185             12      2.2318579
             20            2.4         620256     -1.2356045     0.45161963      563.19264       3528.114             12      2.3663422
             20              1         632915     -1.9967244     0.99841783      36.121577       96.90257             12      2.3976173
             20            2.4         632915     -1.2402106     0.46210353      573.26593      3503.5069             12      2.3603402
             20              1         645573     -1.9941908     0.99076144      137.79263       1054.547             12      2.6708106
             20            2.4         645573      -1.235205     0.44907328      564.11745      3558.4373             12      2.8872505
             20              1         658231       -1.99306     0.98671071      180.70677      1601.0016             12      2.8583874
             20            2.4         658231     -1.2360785     0.45116728      559.79982      3524.3318             12      2.4055827
             20              1         670889     -1.9948765     0.99224277      110.41581       916.4359             12      2.4361298
             20            2.4         670889     -1.2364921     0.45123901      565.24782      3573.1978             12      2.4021442
             20              1         683547      -1.995439     0.99419319      88.387233      659.17396             12       2.738799
             20            2.4         683547     -1.2374748      0.4541207      565.64053      3553.4964             12      2.4567076
             20              1         696205     -1.9964793     0.99760007      46.419661      187.30327             12      2.5250247
             20            2.4         696205     -1.2367428     0.45305357      560.66663      3528.9637             12      2.4991656
             20              1         708863     -1.9954353      0.9939631      87.754971      692.56943             12      2.5945673
             20            2.4         708863     -1.2372355     0.45253364      562.55343      3562.7086             12      2.5379983
             20              1         721521     -1.9961457     0.99653321      60.976477      340.34386             12      2.6956397
             20            2.4         721521     -1.2365279     0.45245779      564.60307      3538.4275             12      2.6941165
             20              1         734179     -1.9951153      0.9935747      100.98025      686.84329             12      2.8021142
             20            2.4         734179     -1.2369642     0.45343387      563.09817      3537.2239             12      2.5805013
             20              1         746837     -1.9942008     0.99012164      137.65065      1181.5009             12      2.6736469
             20            2.4         746837      -1.235699     0.45153082      567.83726        3563.35             12      2.6082515
             20              1         759496     -1.9961281     0.99649685      60.248168      329.55114             12      2.6981623
             20            2.4         759496      -1.236109     0.45162517      558.53977      3518.9821             12      2.6502944
             20              1         772154     -1.9958043     0.99528737      72.473295      508.66889             12        2.97391
             20            2.4         772154     -1.2375688     0.45660519      566.02324      3504.1024             12       2.706919
             20              1         784812     -1.9961782     0.99649893      57.797418      360.91287             12      2.8194935
             20            2.4         784812     -1.2373126     0.45448876      563.45324       3529.119             12      2.8542921
             20              1         797470      -1.996769     0.99843053      34.378594       94.97466             12      2.9569236
             20            2.4         797470     -1.2349019     0.44938057      560.21073      3538.7734             12       2.924099
             20              1         810128     -1.9963691     0.99707796      50.140214      281.44752             12      2.9359703
             20            2.4         810128     -1.2371317     0.45537357      564.98033      3509.2324             12      2.9925858
             20              1         822786     -1.9952936     0.99396078       92.85652      650.01572             12       2.937226
             20            2.4         822786     -1.2363057     0.45200455      563.58614      3545.4988             12       3.108464
             20              1         835444     -1.9967243     0.99835082      36.765079      106.82589             12      2.9862914
             20            2.4         835444     -1.2377799     0.45557056      564.90043      3529.2989             12      3.0692831
             20              1         848102      -1.996111     0.99635939      58.967436      357.37232             12      3.0649264
             20            2.4         848102     -1.2361119     0.45144917      561.72256      3533.5451             12       3.098101
             20              1         860760     -1.9962472     0.99681793      55.056305      298.29645             12      3.1224203
             20            2.4         860760     -1.2367198     0.45317089      564.44791      3531.8749             12      3.1143816
             20              1         873418     -1.9965723     0.99779672      41.164991      175.76358             12       3.188867
             20            2.4         873418     -1.2375459     0.45432583      565.70305      3548.5785             12      3.1858413
             20              1         886077     -1.9955741     0.99477769      80.156476      551.05167             12      3.2475914
             20            2.4         886077     -1.2354347     0.45102263      562.44265      3535.0783             12      3.2566871
             20              1         898735     -1.9960058      0.9960931      63.206195      387.67293             12      3.2197335
             20            2.4         898735     -1.2350693     0.44997221      564.42008      3553.4197             12      3.3101456
             20              1         911393     -1.9960807      0.9963849       60.49971      343.17718             12      3.3648842
             20            2.4         911393     -1.2368099     0.45403113      560.92322      3519.9455             12      3.2917444
             20              1         924051      -1.995953     0.99579839      65.554131      437.75588             12      3.3620631
             20            2.4         924051     -1.2363145       0.452651      564.27233      3523.4831             12      3.7408457
             20              1         936709     -1.9966834     0.99808594       36.59598      146.25082             12      4.0972936
             20            2.4         936709     -1.2381487     0.45501176      564.16398      3555.1884             12       3.431492
             20              1         949367     -1.9963519     0.99713807      50.213349      258.98669             12       3.496982
             20            2.4         949367     -1.2356165     0.45120915      565.32569      3539.8832             12      3.4257404
             20              1         962025      -1.995616     0.99454762      77.898185      617.53228             12      3.5167331
             20            2.4         962025     -1.2323583      0.4437682      557.76019      3548.5947             12      3.5435626
             20              1         974683      -1.995716     0.99486406      73.917316      582.02775             12       3.585113
             20            2.4         974683     -1.2347384      0.4498467      560.60128      3529.8659             12      3.6919437
             20              1         987341     -1.9960665     0.99634142      60.743519      347.77208             12      3.5860903
             20            2.4         987341     -1.2364065     0.45182752       561.4054      3537.1708             12       3.573223
             20              1        1000000     -1.9964364     0.99745602      44.663589      208.74225             12       4.146785
             20            2.4        1000000     -1.2368969     0.45428108       565.4578      3549.8361             12      3.6936439
