 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)   Accept. rate
             20            2.4          10000     -1.2158493      0.4136063      520.91859      3358.6544             12      0.0326666     0.27842812
             20              1          10722     -1.9721657     0.95329756      1505.6467      4590.3802             12      0.0346312   0.0069065611
             20            2.4          10722     -1.2361028     0.45423298      585.60721      3453.2979             12      0.0341107     0.27038832
             20              1          11497     -1.9469263     0.86913397      2180.7362       13445.72             12      0.0375722    0.010852974
             20            2.4          11497     -1.2398819     0.46835392      607.09098       3449.647             12      0.0366563     0.26858097
             20              1          12328     -1.9082723     0.74692945      2864.6635      21444.388             12      0.0409423    0.017905306
             20            2.4          12328      -1.229559      0.4386287      595.72704      3743.4875             12      0.0395239     0.27310241
             20              1          13219     -1.9548595     0.89497654      1863.3969      10435.178             12      0.0436866   0.0093699368
             20            2.4          13219     -1.2375592     0.46053468      583.02627      3357.4028             12      0.0425405     0.26999893
             20              1          14174     -1.9185004     0.77662758      2609.8595      19947.611             12      0.0471671    0.015753946
             20            2.4          14174      -1.240415     0.47288259      604.54514      3529.8578             12      0.0466591      0.2689738
             20              1          15199     -1.9794717     0.96559093       1128.729       3433.991             12      0.0515796   0.0050467978
             20            2.4          15199      -1.236937     0.45345318      593.14889      3627.7511             12      0.0481291      0.2705075
             20              1          16297     -1.9595893     0.89387934      1645.4066      11880.235             12      0.0528267   0.0083183109
             20            2.4          16297     -1.2522111     0.48986836      602.88248      3368.7927             12      0.0573459     0.26443127
             20              1          17475     -1.9464399     0.85658962      2052.3359      15097.492             12      0.0594463    0.010759911
             20            2.4          17475     -1.2357067     0.45296016       590.2905      3715.9497             12       0.057657     0.27045222
             20              1          18738     -1.9472738      0.8642505      2004.8114      13755.861             12      0.0611034    0.010533986
             20            2.4          18738     -1.2406822     0.46224525      596.79219      3632.3218             12      0.0676873     0.26896914
             20              1          20092     -1.9565157      0.8859367      1673.7905      12434.358             12      0.0673834   0.0088140509
             20            2.4          20092     -1.2398209      0.4506114      593.63091      3692.4034             12      0.0641822     0.26898765
             20              1          21544     -1.9779025     0.95816656      973.37747      4075.3991             12      0.0670726   0.0048327354
             20            2.4          21544     -1.2321031     0.43629959      567.95288       3570.511             12      0.0716859     0.27186181
             20              1          23101     -1.9674225     0.91519195      1360.4294      9902.9703             12      0.0709826   0.0068675244
             20            2.4          23101     -1.2549958      0.4873355      610.15282      3503.3964             12      0.0732324     0.26304771
             20              1          24770     -1.9458407     0.84408889      1891.7235      16598.583             12      0.0786384    0.010354153
             20            2.4          24770     -1.2389989     0.45298549      600.67677      3741.5912             12      0.0800642     0.26941339
             20              1          26560      -1.960261     0.90164918      1498.3992      10049.548             12       0.084774   0.0079760943
             20            2.4          26560     -1.2366775     0.44685839      584.83008      3588.2352             12       0.084848      0.2699346
             20              1          28480     -1.9745237     0.93790164      1038.1273      7075.5248             12      0.0920456   0.0052158163
             20            2.4          28480     -1.2317715     0.44263467      545.55121       3410.767             12       0.090624     0.27212583
             20              1          30538     -1.9752902     0.93914685      1016.9027      7128.8487             12       0.096388   0.0051678969
             20            2.4          30538     -1.2371312     0.45851201      594.65262      3484.0887             12      0.0957479     0.27010205
             20              1          32745     -1.9750068     0.94491807      1012.5443      5749.2666             12      0.1040309   0.0052207365
             20            2.4          32745     -1.2333052     0.43960444      580.51001      3716.2376             12      0.1041437     0.27141408
             20              1          35111     -1.9654929     0.90823341      1300.1441      10298.723             12      0.1092679   0.0068594834
             20            2.4          35111     -1.2426844     0.46424845      567.17703        3436.79             12      0.1157057     0.26787301
             20              1          37649      -1.950719     0.87103241      1730.9406       12885.77             12      0.1197957    0.009510019
             20            2.4          37649     -1.2316051     0.44334135      563.79682      3504.7109             12      0.1183067     0.27207525
             20              1          40370     -1.9770156     0.94865658      931.29681      5446.8198             12       0.126936   0.0047565007
             20            2.4          40370       -1.24136     0.46253628      598.00244      3659.7734             12      0.1278306     0.26857872
             20              1          43287     -1.9861401     0.97209181      572.28087      3066.6105             12       0.137542   0.0030515435
             20            2.4          43287      -1.235355     0.44464622      562.54138      3581.9784             12      0.1396081     0.27058597
             20              1          46415     -1.9772799     0.94362961      870.68443      6367.6035             12      0.1456877    0.004619293
             20            2.4          46415     -1.2326081     0.43740572      587.39493      3802.5742             12      0.1506375      0.2716636
             20              1          49770     -1.9858165     0.97282653      572.16179      2841.0776             12      0.1601539   0.0030792165
             20            2.4          49770     -1.2355567     0.45073556      568.35329      3471.8653             12      0.1633685     0.27054267
