 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)   Accept. rate
             20              1           9326     -1.9969247      0.9992151     0.02632646   0.0017608635             12       0.037862  0.00075273467
             20            2.4           9326     -1.2125209     0.42002462      1.2207277      6.7200961             12      0.0353162     0.27788738
             20              1          10000      -1.996988       0.999232    0.025603181    0.001708073             12      0.0386386  0.00073800129
             20            2.4          10000      -1.214556     0.42713425      1.2023868      6.4436582             12      0.0362734     0.27710847
             20              1          10722      -1.997146     0.99927252    0.024363783   0.0016237946             12      0.0404701  0.00070509475
             20            2.4          10722     -1.2177637     0.43954351      1.2492261       6.548195             12       0.041673     0.27587148
             20              1          11497     -1.9971714     0.99927981    0.024897457   0.0016504079             12      0.0428391  0.00068887542
             20            2.4          11497     -1.2216743     0.44845131      1.2814152      6.5852511             12      0.0413943     0.27491325
             20              1          12328     -1.9972648     0.99930402    0.023989895   0.0015875591             12       0.043926  0.00069597744
             20            2.4          12328     -1.2309264     0.46337937      1.3858863      6.7948985             12      0.0465822     0.27163243
             20              1          13219     -1.9973478     0.99932332    0.023269922   0.0015514684             12      0.0477886  0.00068121633
             20            2.4          13219     -1.2277046     0.45667621      1.3487993      6.6738253             12       0.053094     0.27277722
             20              1          14174     -1.9974263     0.99934387    0.022748994   0.0015125721             12       0.055943  0.00065613109
             20            2.4          14174     -1.2231113     0.45178495      1.3217053       6.340776             12      0.0543789     0.27443947
             20              1          15199     -1.9974564     0.99935226    0.022497931   0.0014908355             12      0.0586525  0.00066385769
             20            2.4          15199      -1.224124     0.45491218      1.2831665      6.0360703             12      0.0554454     0.27453614
             20              1          16297     -1.9973621     0.99932932    0.022980814    0.001516094             12      0.0590739  0.00068340771
             20            2.4          16297     -1.2333515     0.47063999      1.3575391      6.3550014             12      0.0611528      0.2710051
             20              1          17475     -1.9973001     0.99931302    0.023764704   0.0015697344             12      0.0676822  0.00069713873
             20            2.4          17475     -1.2268951     0.45305589      1.3460372      6.7715264             12       0.064123     0.27358138
             20              1          18738     -1.9972644     0.99930489    0.023630533   0.0015555808             12      0.0683308  0.00069818049
             20            2.4          18738     -1.2187499     0.43702048      1.3898835      7.1827792             12      0.0670493     0.27656462
